,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
419,0,0,0,0.0,0,0.0,0,0
420,0,0,0,0.0,0,0.0,0,0
421,0,0,0,0.0,0,0.0,0,0
422,0,0,0,0.0,0,0.0,0,0
423,2017,Q2,Alabama,8000.0,8000,930.0,1200,690
424,2017,Q2,Arizona,22000.0,23000,3700.0,14000,1600
425,2017,Q2,Arkansas,24000.0,24000,3400.0,12000,1600
426,2017,Q2,California,1110000.0,1150000,108000.0,240000,185000
427,2017,Q2,Colorado,9500.0,29000,1800.0,9000,680
428,2017,Q2,Connecticut,2500.0,2500,100.0,390,60
429,2017,Q2,Florida,240000.0,240000,29000.0,43000,21000
430,2017,Q2,Georgia,108000.0,111000,11000.0,17500,3600
431,0,0,0,0.0,0,0.0,0,0
432,2017,Q2,Idaho,60000.0,80000,6000.0,19000,5500
433,2017,Q2,Illinois,9000.0,9000,740.0,2200,380
434,2017,Q2,Indiana,4300.0,7000,220.0,2700,900
435,2017,Q2,Iowa,10500.0,26000,2400.0,26000,760
436,2017,Q2,Kansas,4700.0,6000,960.0,3000,900
437,2017,Q2,Kentucky,5500.0,6000,450.0,2100,270
438,2017,Q2,Louisiana,52000.0,53000,4300.0,10000,9500
439,2017,Q2,Maine,3600.0,25000,4200.0,510,560
440,2017,Q2,Maryland,8000.0,9000,320.0,2800,400
